"","Organism.name","Year","Source","Taxon","Assembly"
"yee","Yersinia enterocolitica (type O:5) YE53/03","2015","GenBank","1262462","GCA_000968115.1"
"ysi","Yersinia similis","2014","GenBank","367190","GCA_000582515.1"
"yal","Yersinia aldovae","2015","GenBank","1453495","GCA_000834395.1"
"yfr","Yersinia frederiksenii","2015","GenBank","1454377","GCA_000834215.1"
"yin","Yersinia intermedia","2015","GenBank","631","GCA_000834515.1"
"ykr","Yersinia kristensenii","2015","GenBank","28152","GCA_000834865.1"
"yro","Yersinia rohdei","2015","GenBank","29485","GCA_000834455.1"
"yru","Yersinia ruckeri YRB","2015","GenBank","29486","GCA_000834255.1"
"yrb","Yersinia ruckeri Big Creek 74","2015","GenBank","29486","GCA_000964565.1"
"yak","Yersinia aleksiciae","2015","GenBank","263819","GCA_001047675.1"
"spe","Serratia proteamaculans","2007","GenBank","399741","GCA_000018085.1"
"srr","Serratia plymuthica AS9","2011","GenBank","768492","GCA_000214235.1"
"srl","Serratia plymuthica 4Rx13","2013","GenBank","682634","GCA_000176835.2"
"sry","Serratia plymuthica S13","2013","GenBank","1348660","GCA_000438825.1"
"sply","Serratia plymuthica PRI-2C","2016","GenBank","1154756","GCA_000261045.2"
"srs","Serratia sp. AS12","2011","GenBank","768490","GCA_000214195.1"
"sra","Serratia sp. AS13","2012","GenBank","768493","GCA_000214805.1"
"ssz","Serratia symbiotica","2012","GenBank","568817","GCA_000238975.1"
"smaf","Serratia marcescens FGI94","2013","GenBank","671990","GCA_000330865.1"
"smw","Serratia marcescens WW4","2013","GenBank","435998","GCA_000336425.1"
"smar","Serratia marcescens SM39","2015","GenBank","1334564","GCA_000828775.1"
"smac","Serratia marcescens subsp. marcescens Db11","2015","GenBank","273526","GCA_000513215.1"
"slq","Serratia liquefaciens","2013","GenBank","1346614","GCA_000422085.1"
"serf","Serratia sp. FS14","2014","GenBank","1327989","GCA_000695995.1"
"sers","Serratia sp. SCBI","2014","GenBank","488142","GCA_000747565.1"
"sfw","Serratia fonticola DSM 4576","2015","GenBank","47917","GCA_001006005.1"
"sfg","Serratia fonticola GS2","2017","GenBank","47917","GCA_001514455.1"
"srz","Serratia rubidaea","2016","GenBank","61652","GCA_001572725.1"
"sera","Serratia sp. ATCC 39006","2018","GenBank","104623","GCA_000463345.3"
"sfo","Chania multitudinisentens","2014","GenBank","1441930","GCA_000520015.2"
"rah","Rahnella sp. Y9602","2011","GenBank","741091","GCA_000187705.1"
"raq","Rahnella aquatilis CIP 78.65 = ATCC 33071","2012","GenBank","745277","GCA_000241955.1"
"raa","Rahnella aquatilis HX2","2012","GenBank","1151116","GCA_000255535.1"
"rox","Rouxiella sp. ERMR1:05","2018","GenBank","1805933","GCA_002951615.1"
"eca","Pectobacterium atrosepticum SCRI1043","2004","GenBank","218491","GCA_000011605.1"
"patr","Pectobacterium atrosepticum JG10-08","2014","GenBank","29471","GCA_000696465.1"
"pato","Pectobacterium atrosepticum 21A","2014","GenBank","29471","GCA_000740965.1"
"pct","Pectobacterium carotovorum subsp. carotovorum PC1","2009","GenBank","561230","GCA_000023605.1"
"pcc","Pectobacterium carotovorum subsp. carotovorum PCC21","2012","GenBank","1218933","GCA_000294535.1"
"pcv","Pectobacterium carotovorum subsp. odoriferum","2014","GenBank","78398","GCA_000769535.1"
"pwa","Pectobacterium parmentieri WPP163","2009","GenBank","561231","GCA_000024645.1"
"ppar","Pectobacterium parmentieri RNS08.42.1A","2016","GenBank","1905730","GCA_001742145.1"
"pec","Pectobacterium sp. SCC3193","2013","GenBank","1905730","GCA_000260925.1"
"pws","Pectobacterium wasabiae","2016","GenBank","1175631","GCA_001742185.1"
"ppoa","Pectobacterium polaris","2017","GenBank","2042057","GCA_002288545.1"
"sgl","Sodalis glossinidius (Glossina spp.)","2006","GenBank","343509","GCA_000010085.1"
"sod","Sodalis praecaptivus","2014","GenBank","1239307","GCA_000517425.1"
"pes","Candidatus Sodalis pierantonius","2014","GenBank","2342","GCA_000517405.1"
"seny","Sodalis endosymbiont of Henestaris halophilus","2018","GenBank","1929246","GCA_900161835.1"
"dda","Dickeya dadantii Ech703","2009","GenBank","579405","GCA_000023545.1"
"ddd","Dickeya dadantii 3937","2010","GenBank","198628","GCA_000147055.1"
"dze","Dickeya zeae Ech1591","2009","GenBank","561229","GCA_000023565.1"
"ddc","Dickeya zeae Ech586","2009","GenBank","590409","GCA_000025065.1"
"dzc","Dickeya zeae EC1","2015","GenBank","1427366","GCA_000816045.1"
"dso","Dickeya solani","2016","GenBank","1225786","GCA_001644705.1"
"ddq","Dickeya dianthicola","2017","GenBank","1306405","GCA_002706485.1"
"dfn","Dickeya fangzhongdai","2018","GenBank","1778540","GCA_002812485.1"
"bgj","Brenneria goodwinii","2017","GenBank","1109412","GCA_002291445.1"
"eta","Erwinia tasmaniensis","2008","GenBank","465817","GCA_000026185.1"
"epy","Erwinia pyrifoliae Ep1/96","2009","GenBank","634499","GCA_000027265.1"
"epr","Erwinia pyrifoliae DSM 12163","2012","GenBank","644651","GCA_000026985.1"
"eam","Erwinia amylovora CFBP1430","2010","GenBank","665029","GCA_000091565.1"
"eay","Erwinia amylovora ATCC 49946","2010","GenBank","716540","GCA_000027205.1"
"ebi","Erwinia billingiae","2010","GenBank","634500","GCA_000196615.1"
"erj","Erwinia sp. Ejp617","2012","GenBank","215689","GCA_000165815.1"
"ege","Erwinia gerundensis","2016","GenBank","1619313","GCA_001517405.1"
"buc","Buchnera aphidicola APS (Acyrthosiphon pisum)","2000","RefSeq","107806","GCF_000009605.1"
"bap","Buchnera aphidicola 5A (Acyrthosiphon pisum)","2009","GenBank","563178","GCA_000021085.1"
"bau","Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)","2009","GenBank","561501","GCA_000021065.1"
"baw","Buchnera aphidicola JF98 (Acyrthosiphon pisum)","2012","GenBank","713600","GCA_000183305.1"
"bajc","Buchnera aphidicola JF99 (Acyrthosiphon pisum)","2012","GenBank","713601","GCA_000183285.1"
"bua","Buchnera aphidicola LL01 (Acyrthosiphon pisum)","2012","GenBank","713603","GCA_000183225.1"
"bup","Buchnera aphidicola TLW03 (Acyrthosiphon pisum)","2012","GenBank","713602","GCA_000183245.1"
"bak","Buchnera aphidicola Ak (Acyrthosiphon kondoi)","2012","GenBank","1005090","GCA_000225445.1"
"buh","Buchnera aphidicola Ua (Uroleucon ambrosiae)","2012","GenBank","1005057","GCA_000225465.1"
"bapf","Buchnera aphidicola F009 (Myzus persicae)","2014","GenBank","1009859","GCA_000521585.1"
"bapg","Buchnera aphidicola G002 (Myzus persicae)","2014","GenBank","1009858","GCA_000521565.1"
"bapu","Buchnera aphidicola USDA (Myzus persicae)","2014","GenBank","1009856","GCA_000521525.1"
"bapw","Buchnera aphidicola W106 (Myzus persicae)","2014","GenBank","1009857","GCA_000521545.1"
"bas","Buchnera aphidicola Sg (Schizaphis graminum)","2002","GenBank","198804","GCA_000007365.1"
"bab","Buchnera aphidicola Bp (Baizongia pistaciae)","2003","GenBank","224915","GCA_000007725.1"
"bcc","Buchnera aphidicola BCc","2006","GenBank","372461","GCA_000090965.1"
"baj","Buchnera aphidicola (Cinara tujafilina)","2011","GenBank","261317","GCA_000217635.1"
"baph","Buchnera aphidicola (Aphis glycines)","2017","GenBank","1265350","GCA_001280225.1"
"wbr","Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)","2002","GenBank","36870","GCA_000008885.1"
"wgl","Wigglesworthia glossinidia morsitans (Glossina morsitans)","2012","GenBank","1142511","GCA_000247565.1"
"pam","Pantoea ananatis LMG 20103","2010","GenBank","706191","GCA_000025405.2"
"plf","Pantoea ananatis LMG 5342","2012","GenBank","1123863","GCA_000283875.1"
"paj","Pantoea ananatis AJ13355","2012","GenBank","932677","GCA_000270125.2"
"paq","Pantoea ananatis PA13","2012","GenBank","1095774","GCA_000233595.1"
"pva","Pantoea vagans C9-1","2010","GenBank","712898","GCA_000148935.1"
"pagg","Pantoea vagans FDAARGOS_160","2016","GenBank","470934","GCA_001558735.2"
"pao","Pantoea sp. At-9b","2011","GenBank","592316","GCA_000175935.2"
"kln","Pantoea rwandensis","2014","GenBank","1076550","GCA_000759475.1"
"pant","Pantoea sp. PSNIH1","2014","GenBank","1484158","GCA_000784875.3"
"panp","Pantoea sp. PSNIH2","2015","GenBank","1484157","GCA_000784965.1"
"hhs","Candidatus Pantoea carbekii","2013","GenBank","1235990","GCA_000478905.1"
"pck","Candidatus Pantoea carbekii US","2015","GenBank","1235990","GCA_000971765.1"
"pagc","Pantoea agglomerans C410P1","2017","GenBank","549","GCA_001709315.1"
"pstw","Pantoea stewartii subsp. stewartii","2017","GenBank","660596","GCA_002082215.1"
"palh","Pantoea alhagi","2017","GenBank","1891675","GCA_002101395.1"
"tci","Tatumella citrea","2017","GenBank","53336","GCA_002163585.1"
"plu","Photorhabdus luminescens","2003","GenBank","243265","GCA_000196155.1"
"pay","Photorhabdus asymbiotica","2009","GenBank","291112","GCA_000196475.1"
"ptt","Photorhabdus temperata","2015","GenBank","230089","GCA_001010285.1"
"pmr","Proteus mirabilis HI4320","2008","GenBank","529507","GCA_000069965.1"
"pmib","Proteus mirabilis BB2000","2013","GenBank","1266738","GCA_000444425.1"
"pvl","Proteus vulgaris","2016","GenBank","584","GCA_001281565.1"
"xbo","Xenorhabdus bovienii SS-2004","2010","GenBank","406818","GCA_000027225.1"
"xbv","Xenorhabdus bovienii CS03","2015","GenBank","40576","GCA_000973125.1"
"xne","Xenorhabdus nematophila ATCC 19061","2010","GenBank","406817","GCA_000252955.1"
"xnm","Xenorhabdus nematophila AN6/1","2015","GenBank","1437823","GCA_000953355.1"
"xdo","Xenorhabdus doucetiae","2015","GenBank","351671","GCA_000968195.1"
"xpo","Xenorhabdus poinarii","2015","GenBank","1354304","GCA_000968175.1"
"xho","Xenorhabdus hominickii","2016","GenBank","351679","GCA_001721185.1"
"psi","Providencia stuartii MRSN 2154","2012","GenBank","1157951","GCA_000259175.1"
"psx","Providencia stuartii ATCC 33672","2014","GenBank","588","GCA_000754345.1"
"psta","Providencia stuartii BE2467","2017","GenBank","588","GCA_001888205.1"
"prg","Providencia rettgeri","2016","GenBank","587","GCA_001874625.1"
"pala","Providencia alcalifaciens","2017","GenBank","126385","GCA_002393505.1"
"mmk","Morganella morganii","2013","GenBank","1124991","GCA_000286435.2"
"asy","Arsenophonus symbiont of Lipoptena fortisetosa","2016","GenBank","634113","GCA_001534665.1"
"eic","Edwardsiella ictaluri","2009","GenBank","634503","GCA_000022885.2"
"etr","Edwardsiella tarda EIB202","2009","GenBank","498217","GCA_000020865.1"
"etd","Edwardsiella tarda FL6-60","2012","GenBank","718251","GCA_000146305.1"
"ete","Edwardsiella anguillarum","2014","GenBank","667120","GCA_000264765.2"
"etc","Edwardsiella piscicida C07-087","2013","GenBank","1288122","GCA_000348565.1"
"edw","Edwardsiella sp. EA181011","2015","GenBank","1578828","GCA_000800725.2"
"edl","Edwardsiella sp. LADL05-105","2015","GenBank","1650654","GCA_001186215.1"
"eho","Edwardsiella hoshinae","2016","GenBank","93378","GCA_001761405.1"
"hav","Hafnia alvei","2014","GenBank","1453496","GCA_000597785.2"
"opo","Obesumbacterium proteus","2016","GenBank","82983","GCA_001586165.1"
"pfq","Pragia fontium","2015","GenBank","82985","GCA_001026985.1"
"pshi","Plesiomonas shigelloides","2016","GenBank","703","GCA_900087055.1"
"hin","Haemophilus influenzae Rd KW20 (serotype d)","1995","RefSeq","71421","GCF_000027305.1"
"hit","Haemophilus influenzae 86-028NP (nontypeable)","2005","GenBank","281310","GCA_000012185.1"
"hip","Haemophilus influenzae PittEE (nontypeable)","2007","GenBank","374930","GCA_000016465.1"
"hiq","Haemophilus influenzae PittGG (nontypeable)","2007","GenBank","374931","GCA_000016485.1"
"hif","Haemophilus influenzae F3031 (nontypeable)","2011","GenBank","866630","GCA_000197875.1"
"hil","Haemophilus influenzae F3047 (nontypeable)","2011","GenBank","935897","GCA_000200475.1"
"hiu","Haemophilus influenzae 10810 (serotype b)","2012","GenBank","862964","GCA_000210875.1"
"hie","Haemophilus influenzae R2846 (nontypeable)","2012","GenBank","262727","GCA_000165575.1"
"hiz","Haemophilus influenzae R2866 (nontypeable)","2012","GenBank","262728","GCA_000165525.1"
"hik","Haemophilus influenzae KR494 (serotype f)","2013","GenBank","1334187","GCA_000465255.1"
"hia","Haemophilus influenzae CGSHiCZ412602","2014","GenBank","1295140","GCA_000698365.1"
"hih","Haemophilus influenzae Hi375","2014","GenBank","727","GCA_000767075.1"
"hiw","Haemophilus influenzae 477","2015","GenBank","727","GCA_000931575.1"
"hic","Haemophilus influenzae C486","2015","GenBank","727","GCA_000931605.1"
"hix","Haemophilus influenzae 723","2015","GenBank","727","GCA_000931625.1"
"hpr","Haemophilus parainfluenzae","2011","GenBank","862965","GCA_000210895.1"
"hdu","Haemophilus ducreyi","2003","GenBank","233412","GCA_000007945.1"
"hap","Glaesserella parasuis SH0165","2009","GenBank","557723","GCA_000021885.1"
"hpaz","Glaesserella parasuis ZJ0906","2013","GenBank","1322346","GCA_000439395.1"
"hpas","Glaesserella parasuis SH03","2014","GenBank","738","GCA_000740985.1"
"hpak","Glaesserella parasuis KL0318","2014","GenBank","738","GCA_000742795.1"
"hso","Haemophilus somnus 129PT","2006","GenBank","205914","GCA_000011785.1"
"hsm","Haemophilus somnus 2336","2008","GenBank","228400","GCA_000019405.1"
"pmu","Pasteurella multocida subsp. multocida Pm70","2001","GenBank","272843","GCA_000006825.1"
"pmv","Pasteurella multocida subsp. multocida HN06","2012","GenBank","1132496","GCA_000255915.1"
"pul","Pasteurella multocida subsp. multocida 3480","2012","GenBank","584721","GCA_000259545.1"
"pmp","Pasteurella multocida 36950","2012","GenBank","1075089","GCA_000234745.1"
"pmul","Pasteurella multocida ATCC 43137","2014","GenBank","747","GCA_000754275.1"
"msu","Mannheimia succiniciproducens","2004","GenBank","221988","GCA_000007745.1"
"mht","Mannheimia haemolytica USDA-ARS-USMARC-185","2013","GenBank","1249526","GCA_000349785.2"
"mhq","Mannheimia haemolytica USDA-ARS-USMARC-183","2013","GenBank","1249531","GCA_000349765.2"
"mhat","Mannheimia haemolytica USDA-ARS-USMARC-184","2015","GenBank","1222034","GCA_000819525.2"
"mhx","Mannheimia haemolytica M42548","2013","GenBank","1316932","GCA_000376645.1"
"mhae","Mannheimia haemolytica D153","2013","GenBank","1261126","GCA_000422145.1"
"mham","Mannheimia haemolytica D171","2013","GenBank","1311759","GCA_000427275.1"
"mhao","Mannheimia haemolytica D174","2013","GenBank","1311760","GCA_000422095.1"
"mhal","Mannheimia haemolytica USMARC_2286","2013","GenBank","1366053","GCA_000439735.1"
"mhaq","Mannheimia haemolytica 89010807N","2015","GenBank","75985","GCA_000963635.1"
"mhay","Mannheimia haemolytica 89010807N lktA-","2015","GenBank","75985","GCA_000963675.1"
"mvr","Mannheimia sp. USDA-ARS-USMARC-1261","2014","GenBank","1432056","GCA_000521605.1"
"mvi","Mannheimia varigena USDA-ARS-USMARC-1296","2014","GenBank","1433287","GCA_000521655.1"
"mvg","Mannheimia varigena USDA-ARS-USMARC-1312","2014","GenBank","1434214","GCA_000521695.1"
"mve","Mannheimia varigena USDA-ARS-USMARC-1388","2014","GenBank","1434215","GCA_000521685.1"
"apl","Actinobacillus pleuropneumoniae L20 (serotype 5b)","2007","GenBank","416269","GCA_000015885.1"
"apj","Actinobacillus pleuropneumoniae JL03 (serotype 3)","2008","GenBank","434271","GCA_000016685.1"
"apa","Actinobacillus pleuropneumoniae AP76 (serotype 7)","2008","GenBank","537457","GCA_000020405.1"
"asu","Actinobacillus succinogenes","2007","GenBank","339671","GCA_000017245.1"
"asi","Actinobacillus suis H91-0380","2012","GenBank","696748","GCA_000307145.1"
"ass","Actinobacillus suis ATCC 33415","2014","GenBank","743972","GCA_000739435.1"
"aeu","Actinobacillus equuli","2014","GenBank","202947","GCA_000801145.1"
"aap","Aggregatibacter aphrophilus NJ8700","2009","GenBank","634176","GCA_000022985.1"
"aaz","Aggregatibacter aphrophilus W10433","2016","GenBank","732","GCA_001262035.1"
"aat","Aggregatibacter actinomycetemcomitans D11S-1","2009","GenBank","668336","GCA_000146265.4"
"aao","Aggregatibacter actinomycetemcomitans ANH9381","2012","GenBank","754507","GCA_000241025.2"
"aan","Aggregatibacter actinomycetemcomitans D7S-1","2012","GenBank","694569","GCA_000163615.3"
"aah","Aggregatibacter actinomycetemcomitans HK1651","2014","GenBank","272556","GCA_000604045.1"
"aacn","Aggregatibacter actinomycetemcomitans NUM4039","2016","GenBank","1407647","GCA_001547775.1"
"aact","Aggregatibacter actinomycetemcomitans 624","2017","GenBank","714","GCA_001594265.1"
"gan","Gallibacterium anatis","2011","GenBank","1005058","GCA_000209675.1"
"bto","Bibersteinia trehalosi USDA-ARS-USMARC-192","2013","GenBank","1171377","GCA_000347595.1"
"btre","Bibersteinia trehalosi USDA-ARS-USMARC-188","2014","GenBank","1263829","GCA_000521725.1"
"btrh","Bibersteinia trehalosi USDA-ARS-USMARC-189","2014","GenBank","1263831","GCA_000521745.1"
"btra","Bibersteinia trehalosi USDA-ARS-USMARC-190","2014","GenBank","1263832","GCA_000521765.1"
"xfa","Xylella fastidiosa 9a5c","2000","GenBank","160492","GCA_000006725.1"
"xft","Xylella fastidiosa Temecula1","2003","GenBank","183190","GCA_000007245.1"
"xfm","Xylella fastidiosa M12","2008","GenBank","405440","GCA_000019325.1"
"xfn","Xylella fastidiosa M23","2008","GenBank","405441","GCA_000019765.1"
"xff","Xylella fastidiosa subsp. fastidiosa GB514","2012","GenBank","788929","GCA_000148405.1"
"xfl","Xylella fastidiosa MUL0034","2014","GenBank","1401256","GCA_000698825.1"
"xfs","Xylella fastidiosa subsp. sandyi Ann-1","2014","GenBank","155920","GCA_000698805.1"
"xfh","Xylella fastidiosa Hib4","2017","GenBank","2371","GCA_001456315.1"
"xcc","Xanthomonas campestris pv. campestris ATCC 33913","2002","RefSeq","190485","GCF_000007145.1"
"xcb","Xanthomonas campestris pv. campestris 8004","2005","GenBank","314565","GCA_000012105.1"
"xca","Xanthomonas campestris pv. campestris B100","2008","GenBank","340","GCA_000070605.1"
"xcp","Xanthomonas campestris pv. raphani","2012","GenBank","990315","GCA_000221965.1"
"xcv","Xanthomonas campestris pv. vesicatoria","2005","GenBank","316273","GCA_000009165.1"
"xac","Xanthomonas citri pv. citri 306","2002","GenBank","190486","GCA_000007165.1"
"xci","Xanthomonas citri subsp. citri Aw12879","2013","GenBank","1137651","GCA_000349225.1"
"xct","Xanthomonas citri subsp. citri A306","2015","GenBank","1308541","GCA_000816885.1"
